"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","MARCH 3, 2015 ","9. REDEVELOPMENT SUCCESSOR AGENCY ","9.1 Amendment to the Agreement with Farmers Union LLC, for the Vendome Building","Recommendation: Approve an Amendment to the Owner Participation and Loan Agreement, Memorandum of Agreement, Declaration of Operation and Maintenance Covenants, and Affordability Restrictions by and between the Successor Agency to the Redevelopment Agency of the City of San Jose and the Farmers Union LLC, to amend the legal description for the Vendome Building located at 151 West Santa Clara Street in San Jose. CEQA: Not a Project, File No. PP10-066, Agreements/Contracts. Council District 3. (Successor Agency to the Redevelopment Agency)",""
"City of San Jose","MARCH 10, 2015 ","1. CEREMONIAL ITEMS ","1.1 Presentation of a proclamation recognizing the Week of March 9th as Science Fair Week in the City of San Jos. (Herrera)","",""
"City of San Jose","MARCH 10, 2015 ","1. CEREMONIAL ITEMS ","1.2 Presentation of a commendation to Tully Community Library for 10 years of exceptional service, outstanding leadership and commitment to excellence for the residents of San Jos. (Nguyen)","",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","Recommendation: Final adoption of ordinances. (a) ORD. NO. 29539 Rezoning certain real property of approximately 0.11 gross acre situated at the southerly side of San Salvador Street, approximately 175 feet easterly of South Fourth Street (168 & 170 East San Salvador Street) from the CG-Commercial General and R-M Multiple-Residence Zoning Districts to the R-M(PD) Planned Development Zoning District. PDC14-050 (b) ORD. NO. 29540 - Pre-Rezoning certain real property of approximately 0.52 gross acre situated on the north side of East Hills Drive approximately 250 feet easterly of Dale Drive (3450 East Hills Drive) from unincorporated to the R-1-8 Single-Family Residence Zoning District. C14-028 (Item continued on the next page) Recommendation: (c) ORD. NO. 29541 - Rezoning certain real property of approximately 0.92 acre situated on the west side of Hamilton Avenue, approximately 100 feet south of Hamilton Way from the R-1-8 Single Family Residence Zoning District to the CN Commercial Neighborhood Zoning District. C14-036",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Neighborhood Services and Education Committee Report of February 12, 2015. (Rocha) [Deferred from 3/3/10 Item 2.3(b)] (b) Rules and Open Government Committee Report of February 18, 2015. (Mayor)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests","Recommendation: Request for an excused absence for Councilmember Peralez from the Regular Meeting of the Public Safety, Finance, and Strategic Support Committee on February 19, 2015 due to the birth of his niece. (Peralez)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.7 Actions Related to the Agreement with Santa Clara County for the Household Hazardous Waste Collection Program","Recommendation: Approve the following Agreements with the County of Santa Clara: (a) Agreement for Household Hazardous Waste Collection Program for 2015-2016 through 2017-2018, for $200,000 each year, subject to the appropriation of funds, contingent upon the Countys extension of the current Sublease between the City of San Jose and the County of Santa Clara for use of City property for the Household Hazardous Waste Collection Program; and (b) Agreement for Countywide Assembly Bill (AB) 939 Implementation Fee for 2015-2016 through 2017-2018. CEQA: Mitigated Negative Declaration, File No. PP09-138, San Jose Environmental Innovation Center, adopted December 1, 2009. (Environmental Services)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.8 Amendment to the City Pay Plan for Various Classifications","Recommendation: Adopt a resolution to: (a) Amend the City of San Jose Pay Plan effective March 10, 2015, to create the following classifications: (1) Industrial Process Control Specialist III (1364) (2) Industrial Process Control Senior Specialist II (1368) (b) Amend the City of San Jose Pay Plan effective March 10, 2015, to change the salary range and title for the following classifications: (1) Industrial Process Control Supervisor (1365) (formerly Systems Control Supervisor) (2) Industrial Process Control Senior Specialist I (1367) (formerly Senior Process & Systems Specialist) (c) Amend the City of San Jose Pay Plan effective March 10, 2015, to change the title for the following classification: (1) Industrial Process Control Specialist I/II (1361/1363) (formerly Process & Systems Specialist I/II) (d) Amend the City of San Jose Pay Plan effective March 10, 2015, to change the salary range for the following classification: (1) Amusement Park Supervisor (7121) (e) Amend the City of San Jose Pay Plan effective March 10, 2015, to delete the following obsolete classifications: (1) Section Manager, CAE (1641) (2) Deputy Director, Aviation (3547) CEQA: Not a Project, File No. PP10-068(b), Municipal Code, Title 3. (Human Resources)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.9 Amendment to the Agreement with Alum Rock Union School District for the Development and Operation of a Soccer Field and Running Track at Sheppard Middle School","Recommendation: Adopt a resolution authorizing the City Manager or designee to negotiate and execute a Second Amendment to the Agreement with Alum Rock Union School District for the development and operation of a soccer field and running track at Sheppard Middle School, increasing the City of San Joses contribution to the project by $53,000 for a total contribution of $2,053,000, and updating the insurance requirements. CEQA: Exempt, File No. PP15-023. (Parks, Recreation and Neighborhood Services)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.10 Amendment to the Agreement with MRF Geosystems Corporation for the Storm GIS Data Improvement Project","Recommendation: Approve the Fifth Amendment to the Agreement with MRF Geosystems Corporation of Calgary, Alberta, Canada, for GIS consultant services for the Storm GIS Data Improvement Project to extend the term of the agreement to March 31, 2016, at no cost to the City. CEQA: Not a Project, File No. PP10-066(d), Consultant Services. (Public Works)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.11 District 9s Celebrate Cambrian Festival","Recommendation: As recommended by the Rules and Open Government Committee on February 25, 2015: (a) Approve the Celebrate Cambrian Festival scheduled on August 23, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Rocha) [Rules Committee referral 2/25/15 Item G(1)(b)]",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.12 Agreement with Adhara Systems, Inc. for Pavement Condition Assessments","Recommendation: Approve an agreement with Adhara Systems, Inc. for engineering consultant services to perform pavement condition assessments on the Citys street network, for a one-year term in an amount not to exceed $300,000, and three one-year options to extend in a total contract amount not to exceed $1,000,000. CEQA: Exempt, File No. PP14-069. (Transportation)",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.13 Conditional Use Permit for Operation of a Daycare on the West Side of Hamilton Avenue near Hamilton Way","Supplemental Recommendation: Consideration of adoption of a resolution approving a Conditional Use Permit to allow the operation of a two story, 13,545 square foot day care for up to 196 children on a 0.92 acre site on the west side of Hamilton Avenue approximately 100 feet south of Hamilton Way. Council District 6. CEQA: Mitigated Negative Declaration, Resolution No. 77294, on March 3, 2015. (Planning, Building and Code Enforcement) RENUMBERED FROM ITEM 4.2",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.14 District 10s Assyrian Flag Raising","Recommendation: As recommended by the Rules and Open Government Committee on March 4, 2015: (a) Approve Assyrian New (Assyrian Flag Raising) as a City Council sponsored Special Event; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Khamis) [Rules Committee referral 3/4/15 Item G(1)(b)]",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.15 District 10s Annual Greek Flag Raising","Recommendation: As recommended by the Rules and Open Government Committee on March 4, 2015: (a) Approve Annual Greek Raising as a City Council sponsored Special Event; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Khamis) [Rules Committee referral 3/4/15 Item G(1)(c)]",""
"City of San Jose","MARCH 10, 2015 ","2. CONSENT CALENDAR ","2.16 District 6s Shakespeare in the Park","Recommendation: As recommended by the Rules and Open Government Committee on March 4, 2015: (a) Approve Shakespeare in the Park as a City Council sponsored Special Event; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Oliverio) [Rules Committee referral 3/4/15 Item G(1)(d)]",""
"City of San Jose","MARCH 10, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","MARCH 10, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Memo from Councilmember Rocha Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","MARCH 10, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Interview for Public Member Appointment on the Board of Administration for the Federated City Employees Retirement System","Bettina Rounds application Rudy Hobson application Attorney Conflict of Interest Code Enforcement Review Recommendation: Interview and select a candidate for the public member vacancy on the Board of Administration for the Federated City Employees Retirement System Retirement Board to a term ending November 30, 2016. (City Clerk)",""
"City of San Jose","MARCH 10, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 SB 3 (Leno) - Minimum Wage Fairness Act","Memo from Councilmember Jones Memo from Mayor Liccardo, Vice Mayor Herrera, Councilmembers Peralez and Carrasco dated February 12, 2015 Memo from Councilmember Khamis Memo from Councilmember Rocha Memo from Councilmember Peralez Recommendation: Accept the staff background and analysis regarding SB 3 (Leno) Minimum Wage: Adjustment. CEQA: Not a Project, File No. PP10-069(a), Staff Report. (City Manager)",""
